f_name,score_weight,score_gain,score_importance
出行指数,104,27.511893027884607,104
学习指数,88,33.58832529545453,88
常用电商top5,7,19.71054785714286,7
政史军事top5,7,54.37646500000001,7
新闻媒体top5,6,25.73907133333333,6
彩票网站top5,25,23.319454,25
母婴指数,61,28.817526557377043,61
常用网站top5,5,23.361698,5
广告联盟top5,22,154.46029545454547,22
网页搜索top5,2,38.630849999999995,2
购物倾向top5,7,17.92325142857143,7
网络购物指数,206,46.87430402572816,206
汽车网站top5,12,19.166549999999997,12
电子支付top5,11,19.332399999999996,11
p2p金融top5,6,22.95407,6
专业,86,25.100703127906975,86
女性时尚top5,17,23.890829117647055,17
人才招聘top5,20,30.270767000000006,20
婚恋网站top5,4,19.6814225,4
年龄,40,18.87638515,40
理财指数,105,33.258913676190474,105
在线视频top5,13,22.43700076923077,13
网络活跃指数,221,35.191229923076925,221
医疗健康top5,14,22.776022285714284,14
平均停留时间,279,27.168736641577077,279
奢侈品top5,3,15.719033333333334,3
笑话top5,15,27.716739333333333,15
团购top5,10,24.816539,10
银行门户top5,20,23.581142399999997,20
游戏top5,14,27.850549285714287,14
财经资讯top5,10,31.104181999999998,10
动漫top5,11,28.256727272727268,11
视频网站top5,13,20.510805384615388,13
网址导航top5,14,28.10216428571428,14
学历,55,24.66080361818182,55
性别,23,24.330435217391305,23
在线视频指数,279,35.03020916523296,279
在线音乐top5,27,34.96657962962963,27
