id,prediction,real,predict_prob
1,0,0,0.28623673
5,0,0,0.36077487
2,0,0,0.4190727
7,0,0,0.36829564
4,0,0,0.28623673
9,0,0,0.28681982
8,0,0,0.3029654
6,0,0,0.36651316
10,0,1,0.5187838
13,0,0,0.28681982
12,0,0,0.3743795
15,0,0,0.38476226
14,0,0,0.3666849
17,0,0,0.29078817
3,0,0,0.4162889
19,0,0,0.28681982
11,0,0,0.28681982
16,0,0,0.3831111
18,0,0,0.35986596
23,0,0,0.2899416
20,0,1,0.50679386
24,0,0,0.31040835
25,0,0,0.3311549
26,0,0,0.28731105
28,0,0,0.34657338
27,0,0,0.465128
29,0,0,0.28623673
21,0,0,0.2918252
31,0,1,0.51381475
30,0,0,0.33052588
34,0,0,0.28681982
33,0,0,0.28863448
32,0,0,0.32024017
35,0,0,0.28681982
22,0,0,0.31955454
39,0,0,0.29929727
40,0,0,0.4021654
38,0,0,0.35657337
41,0,0,0.28623673
36,0,0,0.32654232
44,0,0,0.2881148
42,0,0,0.3670513
46,0,0,0.28681982
43,0,0,0.43014348
47,0,0,0.33968413
48,0,0,0.28623673
49,0,0,0.28681982
45,0,0,0.39885378
51,0,0,0.28681982
37,0,0,0.30522078
50,0,0,0.2922807
53,0,0,0.28623673
55,0,0,0.29758185
56,0,0,0.35053194
57,0,0,0.35474467
58,0,0,0.436976
59,0,0,0.38584813
60,0,0,0.28681982
54,0,0,0.33029056
63,0,0,0.28623673
64,0,0,0.3238641
62,0,0,0.33358905
66,0,0,0.28681982
67,0,0,0.28623673
68,0,0,0.36442578
61,0,0,0.28623673
65,0,0,0.3834976
52,0,0,0.37157854
69,0,0,0.30543193
70,0,0,0.42769554
73,0,0,0.37246263
72,0,0,0.32116875
74,0,0,0.3106882
75,0,0,0.3330361
77,0,0,0.30218822
76,0,0,0.37570533
78,0,0,0.32374933
79,0,0,0.2881148
80,0,0,0.36294153
81,1,0,0.49315548
83,0,0,0.2964467
84,0,0,0.3361568
85,0,0,0.29852363
86,0,0,0.3136017
71,0,0,0.28623673
82,0,0,0.43075538
87,0,0,0.29929855
90,0,0,0.29589817
92,0,0,0.2936073
91,0,0,0.3196754
94,0,0,0.3634344
95,0,0,0.3692818
93,0,0,0.36776295
96,0,0,0.305154
98,0,0,0.28681982
99,0,0,0.28770515
97,0,0,0.46598226
100,0,0,0.36644536
101,0,0,0.30987865
102,0,0,0.29033923
104,0,0,0.3274252
88,0,0,0.30030414
105,0,0,0.31099772
106,0,0,0.28681982
108,0,0,0.3314016
107,0,0,0.35173985
110,0,0,0.28681982
89,0,0,0.28681982
103,0,0,0.3329083
113,0,0,0.29181287
112,0,0,0.28635764
109,0,0,0.29478666
114,0,0,0.38978347
116,0,0,0.33056733
115,0,0,0.41661516
119,0,0,0.29709968
120,0,0,0.28623673
121,0,0,0.30235344
117,0,0,0.28827283
118,0,0,0.41579556
111,0,0,0.31656846
122,0,0,0.37710592
125,0,0,0.3086268
123,0,0,0.38243365
127,0,0,0.31816062
128,0,0,0.29709968
126,0,0,0.40988043
130,0,0,0.28681982
129,0,0,0.290499
133,0,0,0.3511204
132,0,0,0.28941262
135,0,0,0.28623673
131,0,0,0.28623673
134,0,0,0.33867267
136,0,0,0.48178694
138,0,0,0.32872555
139,0,0,0.2920445
141,0,0,0.28681982
142,0,0,0.28863448
124,0,0,0.36584407
137,0,0,0.33867896
143,0,0,0.316106
144,0,0,0.4918928
140,0,0,0.28623673
145,0,0,0.47267166
146,0,0,0.32771885
147,0,0,0.4190404
151,0,0,0.32670978
152,0,0,0.3015831
153,0,1,0.55024517
150,0,0,0.3933513
155,0,0,0.32070607
148,0,0,0.28681982
154,0,0,0.4689841
149,0,0,0.33292934
158,0,0,0.28623673
156,0,0,0.30098274
159,0,0,0.34328258
160,0,0,0.29228348
162,0,0,0.3789032
163,0,0,0.28681982
164,0,0,0.3039139
161,0,0,0.34303084
166,0,0,0.28941262
168,0,0,0.28681982
169,0,0,0.4040686
165,0,0,0.28623673
167,0,0,0.40658492
172,0,0,0.3466882
170,0,0,0.4081767
173,0,0,0.39364108
171,1,1,0.6037202
157,1,1,0.5175061
174,0,0,0.3883251
178,0,0,0.28681982
179,0,0,0.28941262
180,0,0,0.29982117
176,0,0,0.3587166
182,0,0,0.28681982
181,0,0,0.36653262
183,0,0,0.39071098
184,0,0,0.3574233
186,0,0,0.4891248
185,0,0,0.49074978
188,0,0,0.30013353
187,0,0,0.35893506
177,0,0,0.28681982
175,0,0,0.29615968
189,0,0,0.4114274
190,0,0,0.32664633
194,0,0,0.31593814
193,0,0,0.29542866
191,0,0,0.34304145
197,0,0,0.3086311
196,0,0,0.32488316
195,1,1,0.5951044
198,0,0,0.33670533
199,0,0,0.33173978
200,0,0,0.28681982
201,0,0,0.3570436
202,0,0,0.29499906
205,0,0,0.28681982
206,0,0,0.28681982
207,0,0,0.32433364
204,0,0,0.3590794
203,1,1,0.55418795
192,0,0,0.36891943
210,0,0,0.48998398
211,0,0,0.3169311
212,0,0,0.32200587
213,0,0,0.45075044
215,0,0,0.3167684
214,0,0,0.3176098
217,0,0,0.28623673
218,0,0,0.40602863
219,0,0,0.29755235
216,0,0,0.38617778
221,0,0,0.31875756
222,0,0,0.28883293
209,0,0,0.28623673
208,0,0,0.2899416
224,0,0,0.2871573
220,0,0,0.28623673
226,0,0,0.28623673
227,0,0,0.28623673
223,0,0,0.3411703
225,0,0,0.41466397
229,0,0,0.28623673
228,0,0,0.35925645
230,0,0,0.3381704
231,0,0,0.36092517
233,0,0,0.28681982
234,0,0,0.28681982
232,0,0,0.33614454
235,0,0,0.37164173
237,0,0,0.33353356
238,0,0,0.28681982
239,0,0,0.28873658
236,0,0,0.45294937
241,0,0,0.33011514
242,0,0,0.30289155
240,0,0,0.39663076
246,0,0,0.29089674
243,1,1,0.5866196
244,0,0,0.32124233
247,0,0,0.30201373
249,0,0,0.35656834
251,0,0,0.28681982
250,0,0,0.3240248
245,0,0,0.29939428
248,0,0,0.38505897
252,0,0,0.34635246
255,0,1,0.5561804
257,0,0,0.28681982
256,0,0,0.28623673
259,0,0,0.28706443
258,0,0,0.32429063
260,0,0,0.33604872
262,0,0,0.28623673
253,0,0,0.36692017
263,0,0,0.28681982
264,0,0,0.28863448
261,0,0,0.45229623
265,0,1,0.5136015
266,0,0,0.35094488
254,0,0,0.3011861
269,0,0,0.36007735
267,0,0,0.4687528
270,0,0,0.29121312
272,0,0,0.28623673
